X-开头的字段是不属于任何标准的额外数据，邮件服务器和电子邮件客户端使用这些数据来提供发送电子邮件的额外信息,,,,
序号,字段名称,出现次数,字段内容举例,样本文件名
12,X-Rejection-Reason,1251,['12 - 521 The IP 89.191.233.53 is Blacklisted by invaluement.ik2. --- '],../../testeml/060454e22c59659e857c2c58bd82951d
13,X-CM-TRANSID,820,['Cleaned.1403000576_94357'],../../testeml/065074b069bbb88693df24ec83e5a3bc
15,X-CM-HeaderCharset,795,['utf-8'],../../testeml/065074b069bbb88693df24ec83e5a3bc
20,X-Spam-Status,481,"['No, score=6.1 required=8.0 tests=DCC_CHECK=1.1,\n\tHEADER_FROM_DIFFERENT_DOMAINS=0.001,RCVD_IN_BRBL_LASTEXT=1.644,\n\tRCVD_IN_RP_RNBL=1.284,RCVD_IN_SORBS_DUL=0.001,RCVD_IN_XBL=0.724,\n\tRDNS_DYNAMIC=0.363,RP_MATCHES_RCVD=-0.001,SPF_FAIL=0.919,SPF_HELO_FAIL=0.001,\n\tZABOJCASPAMU_BULK_SIGNATURE=0.01,ZABOJCASPAMU_MANY_DIGITS_MAIL=0.1\n\tautolearn=disabled version=3.4.1']",../../testeml/064793f080b7ba3f9cbfb12ea2ab5eb5
21,X-Spam-Level,440,['******'],../../testeml/064793f080b7ba3f9cbfb12ea2ab5eb5
23,X-Spam-Flag,409,['NO'],../../testeml/069554d7c4521ea41642cf7be1fcc85e
24,X-Envelope-From,384,['<dgf.sg.payableinvoices@dhl.com>'],../../testeml/060235d71e0912b6defcd0f738e83ca8
25,X-Sender,365,['accounts@dielectroindustrial.es'],../../testeml/075313c92fba17b15fcacf1f80715ebe
26,X-Envelope-To,337,['<info@kraeber.de>'],../../testeml/060235d71e0912b6defcd0f738e83ca8
27,X-Spam-Score,336,['0'],../../testeml/069554d7c4521ea41642cf7be1fcc85e
28,X-MS-Exchange-Organization-AuthSource,335,['ARLMSEXCH06.india.eclerx.com'],../../testeml/073487ecf94c8439af3a4a80a6f475f2
29,X-MS-Exchange-Organization-AuthAs,320,['Internal'],../../testeml/073487ecf94c8439af3a4a80a6f475f2
30,X-Quarantine-ID,315,['<p29mtUSF0Lk8>'],../../testeml/060235d71e0912b6defcd0f738e83ca8
31,X-Amavis-Alert,313,"['BANNED, message contains .exe,BL SANTSSWK20100001.exe']",../../testeml/060235d71e0912b6defcd0f738e83ca8
32,X-Envelope-To-Blocked,312,['<info@kraeber.de>'],../../testeml/060235d71e0912b6defcd0f738e83ca8
34,X-Mailer,310,['Xcjtqs gsrmebo 5.3'],../../testeml/069697d8f63ebc4b90f1308c0b031cac
35,X-MS-Exchange-Organization-Network-Message-Id,272,['\n 0b863e52-7c9c-45cb-b999-08d9e1612126'],../../testeml/073487ecf94c8439af3a4a80a6f475f2
38,X-Virus-Scanned,249,['amavisd-new at mail.unnaki.com.py'],../../testeml/060235d71e0912b6defcd0f738e83ca8
41,X-Authenticated-Sender,241,['oslo.directrouter.com: smtpfox-9sl7e@peltfarm.net'],../../testeml/061712d56a5183172d0b0a2bf66db3a8
42,X-AntiAbuse,241,"['This header was added to track abuse, please include it with any abuse report', 'Primary Hostname - hilux.entrustnetwork.net', 'Original Domain - alphams.net', 'Originator/Caller UID/GID - [47 12] / [47 12]', 'Sender Address Domain - dielectroindustrial.es']",../../testeml/075313c92fba17b15fcacf1f80715ebe
44,X-Get-Message-Sender-Via,236,['oslo.directrouter.com: authenticated_id:\n smtpfox-9sl7e@peltfarm.net'],../../testeml/061712d56a5183172d0b0a2bf66db3a8
45,X-Priority,225,['3'],../../testeml/066156dedd95b5db4540283c847c55f0
46,X-Source-Args,212,[''],../../testeml/100084c976be0b1d02547c1e50a96c2e
47,X-Source-Dir,212,[''],../../testeml/100084c976be0b1d02547c1e50a96c2e
48,X-Source,212,[''],../../testeml/100084c976be0b1d02547c1e50a96c2e
49,X-MS-Office365-Filtering-Correlation-Id,180,['4067f2db-4aa5-452c-eac1-08d8ada98a0c'],../../testeml/092660fb9dadf3ac890e100196fd9399
51,X-Original-To,174,['unrecognized@sys.redcondor.com'],../../testeml/066082b7570ec68b42188b8386e9aa95
52,X-MS-Exchange-Organization-SCL,174,['-1'],../../testeml/073487ecf94c8439af3a4a80a6f475f2
53,X-MS-PublicTrafficType,172,['Email'],../../testeml/092660fb9dadf3ac890e100196fd9399
56,X-MS-TrafficTypeDiagnostic,168,['BL0PR02MB5538:'],../../testeml/092660fb9dadf3ac890e100196fd9399
58,X-EOPAttributedMessage,164,['0'],../../testeml/092660fb9dadf3ac890e100196fd9399
